,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 10/2021,KCRQ 10/2021,KCRQ 10/2021,KCRQ 10/2021,KCRQ 10/2021,KCRQ 10/2021,KCRQ 10/2021,KCRQ 10/2021,KCRQ 10/2021,KCRQ 10/2021,KCRQ 10/2021,KCRQ 10/2021,KCRQ 10/2021,KCRQ 10/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,59,84,62,74,55,2013,96,2020,0.00,0.01,0.01,2010,
3,2,59,83,61,74,54,2002,91,2020,0.00,0.00,0.01,2009,
4,3,62,84,61,74,53,2002,92,2014,0.00,0.01,0.02,2008,
5,4,64,80,61,74,53,2002,89,2014,0.30,0.01,0.51,2018,
6,5,63,75,61,74,53,2019,96,2005,0.29,0.01,0.38,2015,
7,6,64,70,61,74,55,2019,90,2013,0.00,0.01,0.23,2010,
8,7,64,68,61,74,52,2011,91,2008,0.00,0.02,T,2010,
9,8,61,66,60,74,53,2011,93,2008,0.42,0.01,0.42,2021,
10,9,57,68,60,74,53,1998,92,2015,0.00,0.01,0.26,2013,
11,10,55,72,60,74,54,2017,100,2015,0.00,0.02,0.07,2000,
12,11,57,68,60,74,53,2013,90,2015,0.00,0.01,0.14,2012,
13,12,52,67,60,74,50,2008,93,2015,0.00,0.01,0.15,2018,
14,13,49,68,60,73,49,2021,89,2020,0.00,0.02,0.18,2007,
15,14,52,71,59,73,52,2021,90,2005,0.00,0.02,0.02,2006,
16,15,53,87,59,73,53,M,90,2017,0.00,0.01,0.01,2009,
17,16,55,81,59,73,52,2018,88,2017,0.00,0.02,0.35,2005,
18,17,57,72,59,73,49,2000,94,2012,0.00,0.02,0.71,2004,
19,18,52,65,59,73,50,2001,83,2012,T,0.02,0.69,2004,
20,19,50,65,58,73,50,2021,84,2018,0.00,0.02,1.66,2010,
21,20,51,67,58,73,51,M,90,1999,0.00,0.02,1.37,2004,
22,21,52,69,58,73,52,2021,89,2019,0.00,0.01,0.10,2012,
23,22,56,66,58,73,53,2004,93,2008,0.00,0.02,0.03,2012,
24,23,58,65,58,73,51,1999,92,2017,T,0.02,0.01,2009,
25,24,55,66,57,73,54,2012,104,2017,0.00,0.02,0.04,2016,
26,25,54,65,57,73,54,2001,95,2017,0.33,0.02,0.33,2021,
27,26,53,64,57,73,51,2008,90,2003,0.00,0.02,0.12,2000,
28,27,52,76,57,73,51,2020,86,2003,0.00,0.02,1.61,2004,
29,28,57,79,57,73,49,2002,85,2010,0.00,0.02,0.28,2013,
30,29,59,77,56,73,50,2009,84,2008,0.00,0.03,0.96,2000,
31,30,59,65,56,72,48,2004,85,1999,0.00,0.02,0.37,2000,
32,31,59,64,56,72,46,2019,85,2008,0.00,0.02,0.02,2014,
33,Average:,56.5,71.5,58.9,73.3,,,,,Total: 1.34,Total: 0.50,,,
