,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 12/2012,KOKB 12/2012,KOKB 12/2012,KOKB 12/2012,KOKB 12/2012,KOKB 12/2012,KOKB 12/2012,KOKB 12/2012,KOKB 12/2012,KOKB 12/2012,KOKB 12/2012,KOKB 12/2012,KOKB 12/2012,KOKB 12/2012
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,57,69,41,67,31,2010,70,2008,0.00,0.03,0.94,2007,
3,2,53,69,41,67,33,2004,78,2006,0.01,0.04,0.11,2005,
4,3,59,69,41,67,32,2006,80,2006,T,0.03,0.19,2001,
5,4,54,69,41,66,29,2011,76,2005,0.00,0.04,0.06,2004,
6,5,52,63,41,66,29,2006,76,2000,0.00,0.03,0.47,2004,
7,6,56,69,40,66,26,2011,74,2008,0.00,0.04,0.01,2003,
8,7,45,64,40,66,30,2006,86,2001,0.00,0.05,0.97,2009,
9,8,46,64,40,66,29,2011,83,2001,0.00,0.04,0.36,2007,
10,9,42,64,40,66,30,2011,76,2008,0.00,0.05,0.67,2001,
11,10,37,71,40,66,31,2011,73,2005,0.00,0.04,0.10,2006,
12,11,37,71,40,65,31,1999,79,2004,0.00,0.04,0.18,2009,
13,12,47,68,40,65,30,1999,83,2010,0.09,0.05,0.78,2009,
14,13,47,61,40,65,29,1999,81,2010,0.83,0.04,0.83,2012,
15,14,41,61,40,65,33,1999,72,2006,0.10,0.05,0.10,2012,
16,15,47,59,40,65,34,2003,72,2004,0.04,0.06,1.38,2008,
17,16,49,60,40,65,30,2003,80,2004,0.01,0.07,0.63,2002,
18,17,54,66,40,65,33,2003,77,2004,0.07,0.07,1.03,2008,
19,18,41,62,40,65,32,2001,83,2000,0.30,0.07,0.30,2012,
20,19,33,61,40,65,31,2006,82,2009,0.00,0.07,1.03,2010,
21,20,30,70,40,65,30,2012,75,1999,0.00,0.08,0.83,2002,
22,21,29,61,40,65,29,2012,80,2005,0.00,0.08,2.97,2010,
23,22,32,61,40,65,32,2012,80,2005,0.00,0.08,1.30,2010,
24,23,45,63,40,65,25,2011,76,1999,0.01,0.08,0.04,2003,
25,24,44,64,40,65,30,2011,80,1999,0.29,0.09,0.29,2012,
26,25,42,64,40,65,28,2011,76,2006,0.00,0.09,0.51,2003,
27,26,40,61,40,65,31,2007,72,2000,0.11,0.11,0.11,2012,
28,27,35,60,40,65,30,2011,75,1999,0.00,0.11,0.17,2006,
29,28,36,65,40,65,28,2011,74,1999,0.00,0.13,1.12,2004,
30,29,33,59,40,65,29,2000,72,2000,0.38,0.13,0.99,2004,
31,30,35,57,40,65,30,1999,68,2000,0.02,0.13,0.08,2001,
32,31,32,61,40,65,30,2003,69,2009,0.00,0.13,0.72,2004,
33,Average:,42.9,64.1,40.2,65.4,,,,,Total: 2.26,Total: 2.15,,,
