,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 08/2013,KOKB 08/2013,KOKB 08/2013,KOKB 08/2013,KOKB 08/2013,KOKB 08/2013,KOKB 08/2013,KOKB 08/2013,KOKB 08/2013,KOKB 08/2013,KOKB 08/2013,KOKB 08/2013,KOKB 08/2013,KOKB 08/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,64,76,62,77,57,2010,85,2000,0.00,0.00,0.00,2006,
3,2,65,75,62,77,59,2010,80,2000,0.00,0.00,0.00,2006,
4,3,59,75,62,77,56,2011,83,2009,0.00,0.00,0.01,2006,
5,4,60,75,62,77,55,2011,82,2008,0.00,0.00,0.03,2006,
6,5,63,73,62,77,55,2006,81,2009,0.00,0.00,0.01,2006,
7,6,62,73,62,77,51,2004,81,2008,0.00,0.01,0.00,2006,
8,7,59,74,62,77,56,2002,83,2012,0.00,0.00,0.00,2006,
9,8,58,74,62,77,54,2010,83,2012,0.00,0.00,0.01,2003,
10,9,55,74,62,77,53,2010,82,2003,0.00,0.00,0.00,2006,
11,10,56,73,62,77,56,2013,86,2003,0.00,0.00,0.00,2006,
12,11,57,73,62,77,57,2013,86,2012,0.00,0.01,0.00,2006,
13,12,64,74,62,77,61,2007,85,2012,0.00,0.00,0.00,2006,
14,13,63,75,62,77,59,2003,84,2012,0.00,0.01,T,2010,
15,14,63,73,62,77,59,2010,83,2012,0.00,0.01,0.00,2006,
16,15,61,74,62,77,58,2006,84,2003,0.00,0.00,0.00,2006,
17,16,58,77,62,77,58,2013,83,2003,0.00,0.01,0.00,2006,
18,17,65,77,62,77,57,2005,88,2012,0.00,0.01,0.00,2006,
19,18,66,75,62,77,59,2005,88,2012,0.00,0.00,0.00,2006,
20,19,63,77,62,77,56,2005,85,2012,0.00,0.01,0.00,2006,
21,20,63,76,62,77,56,2005,84,2012,0.00,0.01,0.05,2003,
22,21,62,77,62,77,57,2010,83,2007,0.00,0.00,T,2009,
23,22,58,79,62,77,56,2002,80,2012,0.00,0.01,T,2009,
24,23,59,79,62,77,55,2001,85,2010,0.00,0.01,0.00,2006,
25,24,62,74,62,77,55,2004,85,2010,0.00,0.00,0.00,2006,
26,25,57,76,62,77,52,2002,85,2005,0.00,0.01,0.00,2006,
27,26,64,82,62,77,50,2009,86,2009,T,0.01,0.44,2007,
28,27,65,79,62,77,52,2009,92,2009,0.00,0.00,0.00,2006,
29,28,63,82,61,77,54,2009,91,2009,0.00,0.01,T,2012,
30,29,63,82,61,77,59,2010,88,2009,0.00,0.01,0.00,2006,
31,30,70,93,61,77,56,2010,93,2013,0.00,0.00,0.00,2006,
32,31,73,86,61,77,51,2010,86,2013,0.00,0.01,0.00,2006,
33,Average:,61.9,76.8,61.9,77.0,,,,,Total: 0.00,Total: 0.15,,,
