,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 03/2013,KOKB 03/2013,KOKB 03/2013,KOKB 03/2013,KOKB 03/2013,KOKB 03/2013,KOKB 03/2013,KOKB 03/2013,KOKB 03/2013,KOKB 03/2013,KOKB 03/2013,KOKB 03/2013,KOKB 03/2013,KOKB 03/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,40,86,45,65,37,2011,86,2013,0.00,0.14,0.24,2004,
3,2,42,80,45,65,37,2007,82,2009,0.00,0.15,0.06,2004,
4,3,40,70,45,65,32,2002,78,2007,0.00,0.15,0.16,2000,
5,4,54,66,45,65,33,2002,81,2007,0.00,0.14,0.24,2005,
6,5,55,61,45,65,36,2002,79,2007,0.00,0.14,0.72,2000,
7,6,51,57,45,65,37,2009,77,2007,0.00,0.13,0.64,2001,
8,7,M,M,45,65,36,2012,86,2004,M,0.14,0.20,2011,
9,8,M,M,46,65,31,2012,83,2004,M,0.12,0.19,2000,
10,9,45,61,46,65,36,2012,82,2012,0.09,0.11,0.15,2001,
11,10,40,66,46,65,35,2012,79,2008,0.01,0.09,0.27,2006,
12,11,38,67,46,65,38,2013,80,2007,0.00,0.10,0.33,2006,
13,12,40,64,46,65,40,2013,85,2007,0.00,0.06,0.01,2006,
14,13,48,64,46,65,37,2006,77,2007,0.00,0.05,0.02,2006,
15,14,46,65,46,65,32,2002,67,2011,0.00,0.04,0.00,2006,
16,15,51,67,46,65,37,2010,79,2010,0.00,0.04,1.05,2003,
17,16,52,62,46,65,38,2008,80,2010,0.00,0.04,0.46,2003,
18,17,56,63,46,65,36,2008,80,2010,0.00,0.04,0.70,2012,
19,18,49,64,46,65,38,2008,72,2009,0.00,0.04,0.11,2005,
20,19,50,65,46,65,36,2002,79,2001,0.00,0.04,0.29,2005,
21,20,48,68,46,65,37,2002,74,2001,0.00,0.04,1.01,2011,
22,21,48,68,47,65,38,2012,70,2002,0.00,0.04,0.20,2006,
23,22,46,66,47,66,38,2006,74,2008,0.00,0.03,0.28,2005,
24,23,45,67,47,66,36,2009,81,2008,0.00,0.03,0.24,2011,
25,24,48,68,47,66,34,2009,79,2008,0.00,0.04,0.02,2005,
26,25,44,67,47,66,38,2009,71,2009,0.00,0.04,T,2006,
27,26,52,67,47,66,41,2002,69,2003,0.00,0.04,0.17,2004,
28,27,49,67,47,66,39,2012,79,2010,0.00,0.04,0.04,2007,
29,28,53,70,47,66,37,2012,83,2004,0.00,0.04,0.47,2006,
30,29,56,67,47,66,40,2007,88,2004,0.00,0.04,0.12,2006,
31,30,51,68,47,66,42,2007,85,2003,0.00,0.03,0.00,2006,
32,31,53,72,47,66,39,2000,81,2005,T,0.04,0.15,2012,
33,Average:,47.9,67.0,46.1,65.3,,,,,Total: 0.10,Total: 2.21,,,
