,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 02/2016,KOKB 02/2016,KOKB 02/2016,KOKB 02/2016,KOKB 02/2016,KOKB 02/2016,KOKB 02/2016,KOKB 02/2016,KOKB 02/2016,KOKB 02/2016,KOKB 02/2016,KOKB 02/2016,KOKB 02/2016,KOKB 02/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,36,60,42,66,32,2002,73,2003,0.02,0.06,T,2007,
3,2,31,59,42,66,30,2002,83,2000,0.00,0.05,0.41,2004,
4,3,36,65,42,66,28,2011,79,2000,0.00,0.06,0.44,2008,
5,4,35,69,42,66,32,2002,85,2001,0.00,0.06,0.02,2008,
6,5,39,80,42,66,29,2002,85,2007,0.00,0.07,T,2000,
7,6,38,78,42,66,29,2002,79,2006,0.00,0.07,0.54,2010,
8,7,44,78,42,66,31,2002,78,2016,0.00,0.08,0.28,2009,
9,8,42,87,42,66,32,2001,87,2016,0.00,0.09,0.18,2013,
10,9,45,84,43,66,33,2013,84,2016,0.00,0.10,0.38,2009,
11,10,43,84,43,65,30,2002,84,2016,0.00,0.09,0.34,2000,
12,11,44,80,43,65,32,2002,87,2015,0.00,0.12,1.63,2005,
13,12,43,78,43,65,32,2013,87,2015,0.00,0.13,1.20,2003,
14,13,41,71,43,65,31,2013,84,2015,0.00,0.13,1.78,2001,
15,14,M,M,43,65,33,2013,84,2015,0.00,0.13,0.17,2012,
16,15,47,87,43,65,33,2008,87,2016,0.00,0.14,0.27,2012,
17,16,48,89,43,65,34,2008,89,2016,0.00,0.13,0.35,2011,
18,17,43,77,44,65,33,2013,89,2007,0.01,0.13,0.28,2009,
19,18,48,67,44,65,36,2012,72,2007,0.10,0.14,1.33,2005,
20,19,45,66,44,65,34,2009,79,2000,0.00,0.13,0.45,2011,
21,20,40,67,44,65,35,2006,77,2014,0.00,0.14,0.22,2008,
22,21,41,67,44,65,35,2013,83,2002,0.00,0.13,1.45,2005,
23,22,38,68,44,65,34,2013,91,2002,0.00,0.14,2.01,2008,
24,23,40,77,44,65,33,2013,77,2016,0.00,0.14,0.77,2005,
25,24,44,80,44,65,36,2001,80,2016,0.00,0.14,0.38,2008,
26,25,38,79,44,65,32,2013,79,2016,0.00,0.14,2.40,2003,
27,26,38,72,45,65,32,2013,79,2005,0.00,0.12,1.54,2011,
28,27,42,73,45,65,34,2013,81,2005,0.00,0.11,1.42,2010,
29,28,49,66,45,65,33,2013,80,2005,0.00,0.10,1.29,2014,
30,29,52,66,45,65,37,2012,66,2016,0.00,0.12,0.01,2000,
31,Average:,41.8,74.1,43.3,65.3,,,,,Total: 0.13,Total: 3.19,,,
