,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 09/2016,KOKB 09/2016,KOKB 09/2016,KOKB 09/2016,KOKB 09/2016,KOKB 09/2016,KOKB 09/2016,KOKB 09/2016,KOKB 09/2016,KOKB 09/2016,KOKB 09/2016,KOKB 09/2016,KOKB 09/2016,KOKB 09/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,67,76,61,77,54,2010,88,2002,0.00,0.02,0.00,2006,
3,2,64,74,61,77,52,2012,90,2009,0.00,0.01,0.00,2006,
4,3,61,73,61,77,53,2000,93,2007,0.00,0.02,0.00,2006,
5,4,65,75,61,77,51,2000,88,2012,0.00,0.01,T,2011,
6,5,58,74,61,77,50,2000,101,2004,0.00,0.02,0.01,2010,
7,6,57,76,61,77,47,2005,94,2011,0.00,0.01,0.03,2002,
8,7,58,75,61,77,52,2000,88,2014,0.00,0.02,0.00,2006,
9,8,66,76,60,77,55,2002,89,2015,0.00,0.02,0.00,2006,
10,9,59,76,60,77,52,2000,95,2015,0.00,0.01,0.05,2012,
11,10,58,75,60,77,48,2000,98,2015,0.00,0.01,T,2010,
12,11,65,74,60,77,46,2000,90,2015,0.00,0.00,0.00,2006,
13,12,65,73,60,77,50,2011,90,2015,0.00,0.00,0.00,2006,
14,13,55,74,60,77,54,2007,85,2015,0.00,0.00,0.00,2006,
15,14,53,74,60,77,52,2005,97,2012,0.00,0.01,0.01,2007,
16,15,50,74,59,77,50,2016,101,2012,0.00,0.00,1.14,2015,
17,16,49,73,59,77,49,2016,100,2014,0.00,0.00,T,2006,
18,17,52,74,59,77,49,2006,91,2014,0.00,0.01,0.00,2006,
19,18,56,72,59,77,47,2006,84,2006,0.00,0.00,0.00,2006,
20,19,60,78,59,76,48,2006,82,2015,0.00,0.01,0.00,2006,
21,20,69,84,59,76,50,2007,94,2015,0.18,0.00,0.18,2016,
22,21,66,79,58,76,46,2007,90,2004,0.06,0.00,0.06,2016,
23,22,59,76,58,76,49,2004,89,2004,0.00,0.01,0.13,2007,
24,23,53,74,58,76,49,2004,93,2009,0.00,0.00,0.01,2007,
25,24,53,85,58,76,48,2004,88,2009,0.00,0.01,0.00,2006,
26,25,52,91,58,76,50,2005,91,2016,0.00,0.01,0.01,2010,
27,26,57,104,57,76,50,2007,104,2016,0.00,0.00,0.01,2007,
28,27,63,93,57,76,47,2013,105,2010,0.00,0.01,0.01,2006,
29,28,61,90,57,76,45,2005,90,2016,0.00,0.01,0.05,2007,
30,29,60,84,57,75,46,2013,92,1999,0.00,0.00,0.24,2002,
31,30,59,83,56,75,46,2013,87,2008,0.00,0.01,T,2009,
32,Average:,59.0,78.6,59.2,76.5,,,,,Total: 0.24,Total: 0.24,,,
