,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 05/2017,KOKB 05/2017,KOKB 05/2017,KOKB 05/2017,KOKB 05/2017,KOKB 05/2017,KOKB 05/2017,KOKB 05/2017,KOKB 05/2017,KOKB 05/2017,KOKB 05/2017,KOKB 05/2017,KOKB 05/2017,KOKB 05/2017
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,44,78,51,69,38,2011,96,2014,0.00,0.02,0.02,2012,
3,2,48,74,52,69,45,2011,92,2004,0.00,0.02,0.03,2012,
4,3,58,75,52,69,43,2013,95,2004,T,0.02,0.24,2003,
5,4,57,75,52,69,44,2011,82,2004,0.00,0.02,T,2007,
6,5,62,68,52,69,46,2004,75,2004,0.00,0.02,0.11,2013,
7,6,51,66,52,69,47,2007,86,2007,0.09,0.01,0.43,2013,
8,7,49,61,52,69,47,2010,88,2007,1.08,0.02,1.08,2017,
9,8,44,68,53,69,44,2017,89,2007,0.00,0.02,0.23,2015,
10,9,57,68,53,69,47,2014,78,2007,T,0.01,T,2011,
11,10,59,67,53,69,44,2003,71,2016,0.06,0.02,0.06,2017,
12,11,55,71,53,70,44,2010,76,2014,0.00,0.01,T,2010,
13,12,59,68,53,70,40,2010,92,2014,0.00,0.01,T,2008,
14,13,53,71,53,70,43,2000,98,2014,0.00,0.01,0.01,2005,
15,14,48,69,54,70,46,2008,99,2014,0.00,0.00,0.76,2015,
16,15,57,67,54,70,47,2000,98,2014,T,0.01,0.32,2015,
17,16,54,68,54,70,44,2011,93,2014,0.04,0.00,T,2011,
18,17,52,69,54,70,46,1999,85,2008,0.00,0.01,0.32,2011,
19,18,50,71,54,70,49,2000,87,2008,0.00,0.00,T,2010,
20,19,50,82,54,70,50,2017,82,2017,0.00,0.01,0.01,2002,
21,20,53,85,54,70,50,2011,85,2017,0.00,0.00,0.04,2002,
22,21,51,78,55,70,45,2002,79,2005,0.00,0.00,0.01,2005,
23,22,60,72,55,70,42,2002,73,2005,0.00,0.00,0.57,2006,
24,23,60,73,55,70,47,2002,73,2017,0.00,0.01,0.18,2008,
25,24,60,70,55,70,46,2010,75,2006,0.00,0.00,T,2008,
26,25,60,69,55,70,43,2010,73,2014,0.00,0.00,0.04,2012,
27,26,55,72,55,70,50,2010,73,2014,0.00,0.00,T,2008,
28,27,52,71,56,70,47,2008,75,2000,0.00,0.00,0.02,2001,
29,28,48,70,56,70,47,2008,77,2000,0.00,0.01,0.01,2012,
30,29,61,68,56,70,44,2010,75,2013,0.00,0.00,0.03,2009,
31,30,60,68,56,70,45,2011,76,2004,0.00,0.00,T,1999,
32,31,61,67,56,71,46,2011,77,2006,T,0.00,0.03,2009,
33,Average:,54.5,70.9,53.8,69.7,,,,,Total: 1.27,Total: 0.26,,,
