,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 06/2020,KOKB 06/2020,KOKB 06/2020,KOKB 06/2020,KOKB 06/2020,KOKB 06/2020,KOKB 06/2020,KOKB 06/2020,KOKB 06/2020,KOKB 06/2020,KOKB 06/2020,KOKB 06/2020,KOKB 06/2020,KOKB 06/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,54,76,56,71,45,2011,76,2020,0.00,0.00,0.12,1999,
3,2,55,77,56,71,46,2011,77,2020,0.00,0.01,0.12,1999,
4,3,60,83,57,71,45,2011,83,2020,0.00,0.00,0.17,1999,
5,4,63,71,57,71,49,2011,75,2014,0.00,0.00,T,2008,
6,5,63,73,57,71,47,2011,75,2013,0.06,0.00,0.06,2011,
7,6,58,72,57,71,48,2012,80,2008,0.09,0.01,0.09,2020,
8,7,53,75,57,71,50,2012,75,2020,0.00,0.00,0.01,2006,
9,8,48,84,57,71,48,2020,84,2020,0.00,0.00,0.00,2006,
10,9,47,94,57,72,47,2020,94,2020,0.00,0.01,T,2015,
11,10,50,90,58,72,50,2020,90,2020,0.00,0.00,0.02,2011,
12,11,51,82,58,72,51,2020,82,2020,0.00,0.00,0.03,2017,
13,12,60,73,58,72,50,2017,76,2018,0.00,0.01,0.02,2010,
14,13,57,75,58,72,47,2017,76,2017,0.00,0.00,T,2009,
15,14,56,74,58,72,50,2001,79,2006,0.00,0.01,0.00,2006,
16,15,57,75,58,72,48,2002,77,2018,0.00,0.00,T,2009,
17,16,64,75,58,73,49,2010,79,2006,0.00,0.00,0.00,2006,
18,17,60,74,58,73,47,2010,80,2016,0.00,0.01,0.01,2012,
19,18,63,73,59,73,52,2016,80,2016,0.00,0.00,0.00,2006,
20,19,63,75,59,73,51,2014,84,2016,0.00,0.00,0.03,2004,
21,20,64,74,59,73,52,2005,93,2008,0.00,0.01,0.03,2003,
22,21,65,74,59,73,49,2010,92,2008,0.00,0.00,0.05,2019,
23,22,65,73,59,73,48,2010,87,2008,0.00,0.01,0.00,2006,
24,23,65,75,59,74,49,2004,83,2001,0.00,0.00,0.08,2003,
25,24,63,71,59,74,53,2003,77,2015,0.00,0.00,0.00,2006,
26,25,60,71,59,74,51,2012,84,2000,0.00,0.01,0.00,2006,
27,26,62,76,60,74,49,2012,84,2006,0.00,0.00,0.00,2006,
28,27,65,76,60,74,49,2012,88,2006,0.00,0.01,T,2015,
29,28,64,73,60,74,53,2001,79,2015,T,0.00,T,2010,
30,29,56,74,60,74,52,2019,81,2015,0.07,0.01,0.07,2020,
31,30,55,75,60,75,52,2011,89,2015,0.00,0.00,0.02,2015,
32,Average:,58.9,76.1,58.2,72.5,,,,,Total: 0.22,Total: 0.11,,,
