,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 01/2012,KRNM 01/2012,KRNM 01/2012,KRNM 01/2012,KRNM 01/2012,KRNM 01/2012,KRNM 01/2012,KRNM 01/2012,KRNM 01/2012,KRNM 01/2012,KRNM 01/2012,KRNM 01/2012,KRNM 01/2012,KRNM 01/2012
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,39,86,34,65,25,1987,86,2012,0.00,0.14,0.95,1982,
3,2,37,86,34,65,24,1976,86,2012,0.00,0.13,0.97,2006,
4,3,36,82,35,65,26,1983,82,2012,0.00,0.14,1.19,1977,
5,4,36,86,35,65,25,1976,86,2012,0.00,0.13,3.24,1995,
6,5,37,83,35,65,25,2009,83,2012,0.00,0.12,1.64,1987,
7,6,32,77,35,66,28,1998,84,2006,0.00,0.13,2.01,1993,
8,7,27,65,35,66,27,2012,84,1983,0.00,0.12,2.62,1993,
9,8,32,71,35,66,27,2000,84,1983,0.00,0.13,1.45,1993,
10,9,33,72,35,66,26,1994,84,1990,0.00,0.12,1.62,2005,
11,10,28,70,35,66,26,1977,81,2004,0.00,0.12,5.33,1978,
12,11,33,73,35,66,26,1977,83,2009,0.00,0.13,2.13,1980,
13,12,45,72,35,66,24,2007,83,1996,0.00,0.11,0.52,1995,
14,13,33,70,35,66,23,2007,85,2000,0.00,0.11,2.20,1997,
15,14,30,67,35,66,20,2007,90,1975,0.00,0.12,1.48,1993,
16,15,32,67,35,66,27,1989,87,1975,0.02,0.11,2.21,1978,
17,16,35,51,35,66,22,2007,84,1976,0.08,0.12,1.74,1993,
18,17,29,58,35,66,16,2007,89,1976,0.00,0.11,1.83,1988,
19,18,22,67,35,66,17,2007,85,1976,0.00,0.11,1.46,1993,
20,19,23,68,35,66,23,2012,82,1975,0.00,0.10,0.64,2010,
21,20,26,63,35,66,24,2007,81,1975,0.00,0.12,1.67,2010,
22,21,33,57,35,65,22,2006,80,1994,0.18,0.11,2.32,2010,
23,22,27,59,35,65,23,2007,82,1994,0.00,0.11,1.02,1996,
24,23,34,53,35,65,23,2007,82,1994,0.37,0.09,0.40,2008,
25,24,36,64,35,65,25,2011,80,1992,0.00,0.09,0.07,1997,
26,25,35,79,35,65,29,1991,84,1975,0.00,0.08,1.10,1997,
27,26,36,82,35,65,29,2007,83,1987,0.00,0.04,0.39,2008,
28,27,35,77,36,65,25,2009,80,1986,0.00,0.05,1.85,2008,
29,28,52,74,36,65,24,2009,79,1978,0.00,0.05,0.66,1980,
30,29,28,79,36,65,24,1975,83,1984,0.00,0.08,5.00,1980,
31,30,30,72,36,65,25,1975,84,2003,0.00,0.09,0.97,1980,
32,31,25,67,36,65,25,2012,88,2003,0.00,0.11,1.73,1979,
33,Average:,32.8,70.9,35.1,65.5,,,,,Total: 0.65,Total: 3.32,,,
