,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 09/2012,KRNM 09/2012,KRNM 09/2012,KRNM 09/2012,KRNM 09/2012,KRNM 09/2012,KRNM 09/2012,KRNM 09/2012,KRNM 09/2012,KRNM 09/2012,KRNM 09/2012,KRNM 09/2012,KRNM 09/2012,KRNM 09/2012
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,56,96,57,90,45,2005,106,2007,0.00,0.01,0.01,1995,
3,2,54,94,57,90,45,2005,109,1982,0.00,0.01,0.04,2003,
4,3,55,96,56,90,47,1999,108,2007,0.00,0.02,0.01,2005,
5,4,58,97,56,90,44,2000,103,1988,0.00,0.01,0.01,2005,
6,5,63,93,56,90,47,2000,102,2006,0.00,0.01,0.75,1991,
7,6,58,89,56,90,45,2005,102,1983,0.00,0.01,0.85,1978,
8,7,58,88,56,89,44,2005,101,2011,0.00,0.01,0.29,2000,
9,8,61,93,56,89,44,1983,103,1979,0.00,0.01,0.03,1975,
10,9,64,94,55,89,43,2000,108,1979,0.00,0.01,0.01,1978,
11,10,63,88,55,89,42,2006,103,1979,0.03,0.01,1.68,1978,
12,11,66,75,55,89,43,2000,106,1983,0.00,0.01,1.04,1976,
13,12,61,88,55,88,43,2000,101,2000,0.00,0.01,0.04,1978,
14,13,62,97,55,88,46,2001,103,1979,0.00,0.01,0.03,1987,
15,14,59,101,54,88,44,1994,101,2012,0.00,0.01,0.01,1978,
16,15,59,101,54,87,43,1974,101,2012,0.00,0.01,0.04,1997,
17,16,52,92,54,87,43,2007,102,2000,0.00,0.01,0.22,1978,
18,17,53,89,54,87,40,2006,103,1981,0.00,0.01,0.26,1989,
19,18,52,88,54,87,39,2010,105,1981,0.00,0.01,0.91,1985,
20,19,54,92,53,86,43,2010,102,1979,0.00,0.01,0.29,1989,
21,20,55,96,53,86,40,1999,98,1991,0.00,0.01,0.02,2005,
22,21,59,95,53,86,40,2007,101,1975,0.00,0.01,0.01,2006,
23,22,61,97,53,85,43,1988,104,2009,0.00,0.01,0.01,2007,
24,23,60,101,53,85,43,2010,102,1982,0.00,0.01,0.07,2000,
25,24,53,91,52,85,41,2007,103,1982,0.00,0.00,0.29,1986,
26,25,51,84,52,84,39,2005,104,1978,0.00,0.01,1.07,1997,
27,26,49,83,52,84,47,2007,105,2010,0.00,0.01,0.28,1982,
28,27,48,90,52,84,42,1988,108,2010,0.00,0.01,0.04,1982,
29,28,54,92,51,83,43,2005,101,1999,0.00,0.01,0.01,2006,
30,29,51,92,51,83,44,1982,101,1992,0.00,0.00,0.01,2005,
31,30,55,98,51,83,40,1982,107,1980,0.00,0.01,0.26,1983,
32,Average:,56.8,92.3,54.0,87.0,,,,,Total: 0.03,Total: 0.29,,,
