,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 03/2015,KRNM 03/2015,KRNM 03/2015,KRNM 03/2015,KRNM 03/2015,KRNM 03/2015,KRNM 03/2015,KRNM 03/2015,KRNM 03/2015,KRNM 03/2015,KRNM 03/2015,KRNM 03/2015,KRNM 03/2015,KRNM 03/2015
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,47,50,39,65,24,1977,84,2009,0.87,0.17,1.70,1983,
3,2,37,52,39,65,24,1977,84,1975,0.36,0.18,1.70,1983,
4,3,35,60,39,66,25,1977,84,1975,0.00,0.19,2.00,1983,
5,4,33,67,39,66,26,1977,85,2012,0.00,0.18,0.68,1983,
6,5,34,71,39,66,26,1974,82,1987,0.00,0.18,2.65,1995,
7,6,30,78,39,66,28,1974,82,2007,0.00,0.17,2.20,1995,
8,7,34,80,39,66,29,1982,83,2004,0.00,0.17,0.50,1987,
9,8,35,76,39,66,25,2012,88,2004,0.00,0.16,1.17,1974,
10,9,34,72,39,66,33,2000,86,2004,0.00,0.14,0.19,2013,
11,10,37,82,39,66,30,2013,89,1997,0.00,0.12,0.93,2001,
12,11,48,77,39,66,30,2010,88,2007,0.00,0.12,2.34,1995,
13,12,41,80,39,66,28,1977,90,2007,0.00,0.10,1.00,1996,
14,13,43,85,39,66,29,1977,86,2013,0.00,0.09,0.79,1996,
15,14,46,86,39,66,29,2006,88,2013,0.00,0.07,0.64,1982,
16,15,47,86,40,66,24,1977,86,2015,0.00,0.08,1.24,2003,
17,16,45,86,40,66,30,2009,88,2004,0.00,0.07,0.97,2003,
18,17,43,82,40,66,29,2008,88,2004,0.00,0.07,1.03,2012,
19,18,49,72,40,67,30,2008,89,1997,0.00,0.08,3.25,1982,
20,19,47,73,40,67,31,1977,92,1997,0.00,0.07,1.18,1991,
21,20,44,82,40,67,29,1977,92,1997,0.00,0.06,1.27,1991,
22,21,35,77,40,67,30,2000,91,1997,0.00,0.06,1.06,1991,
23,22,48,73,40,67,28,2006,83,2008,0.00,0.05,0.76,1987,
24,23,38,71,40,67,31,2011,84,2008,0.00,0.06,0.74,1995,
25,24,37,73,40,67,29,2009,88,1988,0.00,0.05,0.64,1983,
26,25,41,83,40,67,30,1995,90,1988,0.00,0.05,0.88,1977,
27,26,42,90,40,67,30,1977,94,1988,0.00,0.05,0.85,1998,
28,27,43,91,40,67,30,1975,91,2015,0.00,0.06,1.52,1991,
29,28,41,87,40,67,30,2007,87,2015,0.00,0.06,1.56,1998,
30,29,43,84,40,67,28,1975,91,2004,0.00,0.06,0.82,1998,
31,30,40,82,40,68,29,1977,85,2004,0.00,0.06,0.25,1978,
32,31,38,79,40,68,28,1977,87,2011,0.00,0.05,0.66,1978,
33,Average:,40.5,77.0,39.5,66.5,,,,,Total: 1.23,Total: 3.08,,,
