,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 02/2018,KRNM 02/2018,KRNM 02/2018,KRNM 02/2018,KRNM 02/2018,KRNM 02/2018,KRNM 02/2018,KRNM 02/2018,KRNM 02/2018,KRNM 02/2018,KRNM 02/2018,KRNM 02/2018,KRNM 02/2018,KRNM 02/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,37,82,36,65,26,1985,85,1995,0.00,0.07,1.35,1996,
3,2,40,84,36,65,23,2002,86,1995,0.00,0.06,1.35,1988,
4,3,37,81,36,65,23,2002,86,1995,0.00,0.07,1.07,1998,
5,4,38,84,36,65,23,2011,84,2018,0.00,0.07,1.03,1998,
6,5,38,78,36,65,23,2002,86,2007,0.00,0.08,1.11,1976,
7,6,34,75,36,65,25,2002,80,2015,0.00,0.07,0.92,1998,
8,7,45,80,36,65,22,1974,85,1996,0.00,0.09,1.36,1992,
9,8,33,83,36,65,27,2002,84,1996,0.00,0.10,2.07,1993,
10,9,35,79,37,65,28,2001,85,2016,0.00,0.11,2.17,1976,
11,10,39,64,37,65,27,2009,85,2016,0.00,0.11,1.01,1982,
12,11,38,70,37,65,22,2011,83,2016,0.00,0.11,1.10,1982,
13,12,47,57,37,65,23,2013,83,2016,0.05,0.12,1.28,2005,
14,13,38,64,37,65,25,2013,89,1981,T,0.13,1.53,2001,
15,14,42,67,37,65,24,1974,87,1977,T,0.12,2.15,1995,
16,15,40,71,37,65,22,1990,86,2016,0.00,0.13,1.40,1998,
17,16,37,73,37,65,25,1990,88,2016,0.00,0.13,1.10,2009,
18,17,33,74,37,65,28,2012,86,1981,0.00,0.13,1.71,1980,
19,18,33,67,38,65,27,2012,88,1981,T,0.12,1.51,1980,
20,19,32,56,38,65,28,1974,88,1995,0.01,0.13,1.70,1993,
21,20,23,57,38,65,23,2018,85,1995,0.00,0.13,1.39,1993,
22,21,24,53,38,65,24,2018,83,1982,T,0.13,4.07,1980,
23,22,29,56,38,65,22,2006,88,2002,0.01,0.14,0.93,2008,
24,23,29,53,38,65,23,2006,83,1990,0.05,0.13,0.86,2005,
25,24,23,62,38,65,23,2018,88,1986,0.00,0.14,1.61,1998,
26,25,23,68,38,65,23,2018,84,1986,0.00,0.14,1.75,2003,
27,26,26,65,38,65,23,2013,86,1980,0.00,0.13,1.79,2011,
28,27,33,53,39,65,27,1977,85,1980,0.59,0.11,5.05,2017,
29,28,27,59,39,65,27,2018,83,2009,0.00,0.11,2.64,1991,
30,Average:,34.0,68.4,37.2,65.0,,,,,Total: 0.71,Total: 3.11,,,
