,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 11/2018,KRNM 11/2018,KRNM 11/2018,KRNM 11/2018,KRNM 11/2018,KRNM 11/2018,KRNM 11/2018,KRNM 11/2018,KRNM 11/2018,KRNM 11/2018,KRNM 11/2018,KRNM 11/2018,KRNM 11/2018,KRNM 11/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,41,83,44,76,33,1979,90,1976,0.00,0.08,0.76,1987,
3,2,44,88,44,76,35,1996,90,2010,0.00,0.06,0.23,2015,
4,3,44,88,43,75,33,2004,93,2010,0.00,0.05,0.36,2015,
5,4,46,85,43,75,34,2002,94,1980,0.00,0.04,1.05,2011,
6,5,42,80,43,75,32,1994,93,2012,0.00,0.03,1.53,1987,
7,6,51,75,43,74,32,1994,92,2006,0.00,0.03,0.30,2011,
8,7,56,74,42,74,33,2000,92,2006,0.00,0.04,0.25,2004,
9,8,54,80,42,74,30,2011,91,2016,0.00,0.03,0.51,1998,
10,9,56,80,42,73,33,2010,92,1996,0.00,0.04,0.47,2008,
11,10,37,78,41,73,32,2010,89,1996,0.00,0.04,1.39,1982,
12,11,34,78,41,73,28,2012,87,2016,0.00,0.03,1.95,1985,
13,12,55,68,41,72,29,2000,92,1974,0.00,0.03,1.01,2011,
14,13,57,70,41,72,29,2000,92,2013,0.00,0.04,0.10,1984,
15,14,46,75,40,72,26,2000,90,2007,0.00,0.04,0.30,1993,
16,15,40,79,40,71,27,2000,87,2007,0.00,0.04,0.19,2015,
17,16,35,75,40,71,26,2000,87,2008,0.00,0.04,0.10,1994,
18,17,34,73,39,71,28,2015,90,2008,0.00,0.04,0.07,1986,
19,18,34,76,39,70,30,2009,88,2008,0.00,0.04,1.01,1986,
20,19,36,77,39,70,23,1994,91,2006,0.00,0.04,0.35,1982,
21,20,36,70,38,70,23,1994,88,2006,0.00,0.04,1.55,2010,
22,21,35,71,38,69,23,1994,88,2002,0.00,0.04,0.82,2004,
23,22,44,65,38,69,28,1999,85,2015,0.18,0.04,2.29,1996,
24,23,45,66,38,69,28,1999,89,1995,0.00,0.04,0.30,1984,
25,24,49,67,37,68,28,1999,91,1995,0.00,0.04,1.02,1978,
26,25,41,74,37,68,26,2010,92,1977,0.00,0.03,2.06,1985,
27,26,44,76,37,68,25,2010,93,1977,0.00,0.04,1.19,2008,
28,27,35,75,37,67,22,2010,90,1977,0.00,0.04,0.70,1981,
29,28,36,66,36,67,27,1994,91,1980,0.00,0.03,1.33,1975,
30,29,52,57,36,67,24,2010,88,1980,0.97,0.03,0.97,2018,
31,30,45,58,36,66,23,2004,85,1980,0.19,0.04,2.53,2007,
32,Average:,43.5,74.2,39.8,71.2,,,,,Total: 1.34,Total: 1.19,,,
