,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 12/2020,KRNM 12/2020,KRNM 12/2020,KRNM 12/2020,KRNM 12/2020,KRNM 12/2020,KRNM 12/2020,KRNM 12/2020,KRNM 12/2020,KRNM 12/2020,KRNM 12/2020,KRNM 12/2020,KRNM 12/2020,KRNM 12/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,28,80,36,66,21,2004,84,2008,0.00,0.04,0.37,1983,
3,2,33,77,36,66,24,2004,81,1977,0.00,0.06,0.62,2014,
4,3,57,63,35,66,28,2016,84,1981,0.00,0.05,0.69,1985,
5,4,29,75,35,66,23,2011,94,1979,0.00,0.06,1.77,1974,
6,5,26,74,35,65,20,2011,90,1979,0.00,0.05,0.85,1987,
7,6,27,76,35,65,24,2006,87,1979,0.00,0.06,0.61,2018,
8,7,30,72,35,65,22,1978,85,1981,0.00,0.06,2.07,2009,
9,8,40,77,35,65,23,2011,87,1975,0.00,0.05,0.75,1997,
10,9,33,76,35,65,23,2013,85,1975,0.00,0.06,0.22,1996,
11,10,29,63,34,65,27,2011,81,2004,0.00,0.05,0.73,1996,
12,11,31,62,34,65,24,2011,82,2017,0.00,0.05,0.98,1984,
13,12,31,59,34,65,27,2012,86,2010,0.00,0.04,0.81,2014,
14,13,31,70,34,64,25,2013,82,2010,0.00,0.05,1.03,2012,
15,14,34,62,34,64,27,2007,81,2004,0.00,0.05,0.21,2001,
16,15,26,67,34,64,26,1987,82,1980,0.00,0.06,1.68,2008,
17,16,34,71,34,64,29,2015,86,2013,0.00,0.07,1.57,2016,
18,17,31,63,34,64,24,2015,82,2013,0.00,0.06,2.24,2008,
19,18,32,69,34,64,26,2006,80,2003,0.00,0.07,1.06,1978,
20,19,28,73,34,64,23,2006,82,2005,0.00,0.06,0.75,1978,
21,20,36,81,34,64,23,2006,83,2005,0.00,0.07,1.96,2010,
22,21,34,82,34,64,24,2012,84,2005,0.00,0.07,1.84,2010,
23,22,33,73,34,65,23,1998,78,1980,0.00,0.07,3.40,2010,
24,23,26,69,34,65,22,1998,79,1989,0.00,0.07,1.56,1982,
25,24,46,64,34,65,21,1998,85,2005,0.02,0.08,0.97,2016,
26,25,35,73,34,65,22,1998,83,1980,0.00,0.08,1.33,1983,
27,26,31,71,34,65,24,1987,82,1985,0.00,0.10,1.60,2019,
28,27,31,59,34,65,24,2003,82,1980,0.00,0.11,1.16,1984,
29,28,44,53,34,65,24,2014,88,2017,0.87,0.13,1.58,2004,
30,29,30,61,34,65,25,2018,86,2017,0.22,0.14,1.10,2004,
31,30,25,65,34,65,25,M,83,1980,0.00,0.13,0.52,1991,
32,31,27,60,34,65,24,2006,82,2011,0.00,0.13,0.89,1976,
33,Average:,32.5,69.0,34.4,64.8,,,,,Total: 1.11,Total: 2.23,,,
