,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 04/2013,KSDM 04/2013,KSDM 04/2013,KSDM 04/2013,KSDM 04/2013,KSDM 04/2013,KSDM 04/2013,KSDM 04/2013,KSDM 04/2013,KSDM 04/2013,KSDM 04/2013,KSDM 04/2013,KSDM 04/2013,KSDM 04/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,52,67,47,67,42,1956,86,1959,0.00,0.03,0.82,1999,
3,2,54,67,47,68,40,1956,85,1960,0.01,0.03,0.02,1958,
4,3,52,71,47,68,39,1955,87,1960,0.00,0.03,1.04,1958,
5,4,55,71,48,68,37,1945,81,1960,0.00,0.03,0.36,2006,
6,5,56,67,48,68,39,1958,86,2005,0.00,0.03,0.31,2006,
7,6,53,68,48,68,41,1958,87,2005,0.00,0.03,0.29,1958,
8,7,55,69,48,68,45,1955,81,1945,0.00,0.03,0.80,1958,
9,8,48,59,48,68,44,1958,85,2003,0.02,0.04,0.22,2011,
10,9,46,68,48,68,38,2011,78,2003,0.00,0.03,0.19,2001,
11,10,44,74,48,68,38,2011,80,1946,0.00,0.04,0.19,2001,
12,11,48,77,49,68,39,1945,88,1946,0.00,0.04,0.02,1960,
13,12,54,68,49,68,43,2011,94,2008,0.00,0.03,0.68,2010,
14,13,54,66,49,69,42,2007,96,2008,0.00,0.04,0.64,1956,
15,14,53,59,49,69,40,1945,85,1958,0.04,0.04,1.31,2003,
16,15,51,57,49,69,39,1945,89,1961,0.03,0.04,0.15,2003,
17,16,47,61,50,69,43,2009,91,1999,0.00,0.03,0.00,1961,
18,17,43,69,50,69,43,2013,88,2008,0.00,0.03,0.49,2000,
19,18,43,79,50,69,43,2013,87,1999,0.00,0.04,0.13,1957,
20,19,43,83,50,69,41,1955,97,2009,0.00,0.03,0.02,1957,
21,20,46,80,50,69,40,1955,97,2009,0.00,0.03,0.67,1957,
22,21,50,73,51,70,44,2007,85,2009,0.00,0.04,0.78,2001,
23,22,54,69,51,70,42,2008,72,1959,0.00,0.03,0.28,2010,
24,23,54,71,51,70,40,2010,79,2001,0.00,0.03,0.13,1960,
25,24,55,63,51,70,44,1960,88,2001,0.00,0.03,0.22,2002,
26,25,51,72,51,70,40,1961,86,2008,0.00,0.03,0.12,1959,
27,26,51,72,51,70,45,2009,87,2008,0.00,0.03,0.17,1959,
28,27,52,70,52,70,40,1955,97,2008,0.00,0.02,0.76,1960,
29,28,56,72,52,71,42,1955,94,2008,0.00,0.03,0.06,2010,
30,29,56,71,52,71,45,1960,75,2008,0.00,0.01,T,2010,
31,30,56,69,52,71,46,2011,79,2011,0.00,0.02,0.64,1955,
32,Average:,51.1,69.4,49.5,69.0,,,,,Total: 0.10,Total: 0.94,,,
