,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 02/2016,KSDM 02/2016,KSDM 02/2016,KSDM 02/2016,KSDM 02/2016,KSDM 02/2016,KSDM 02/2016,KSDM 02/2016,KSDM 02/2016,KSDM 02/2016,KSDM 02/2016,KSDM 02/2016,KSDM 02/2016,KSDM 02/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,40,57,45,65,32,2002,81,2003,T,0.05,0.33,1960,
3,2,35,58,45,65,33,2002,82,2009,0.00,0.05,0.23,1960,
4,3,38,63,45,65,32,1955,84,2009,0.00,0.05,0.75,1958,
5,4,38,68,45,65,34,2011,84,2001,0.00,0.05,1.15,1958,
6,5,41,74,45,65,30,1955,90,2007,0.00,0.06,0.27,2010,
7,6,44,78,45,65,34,1955,86,2006,0.00,0.05,0.46,2010,
8,7,44,84,45,65,37,2002,86,2006,0.00,0.06,0.62,2009,
9,8,50,86,45,65,39,2002,89,2006,0.00,0.08,1.05,1959,
10,9,53,87,45,65,35,1956,87,2016,0.00,0.08,0.45,2009,
11,10,50,85,45,65,38,2009,85,2016,0.00,0.07,0.40,1960,
12,11,51,84,45,65,35,2011,88,2015,0.00,0.09,0.98,2005,
13,12,51,83,46,66,33,1946,88,2006,0.00,0.08,0.86,2005,
14,13,47,78,46,66,37,1959,84,2015,0.00,0.08,0.83,2001,
15,14,45,79,46,66,38,2008,86,2015,0.00,0.09,0.36,2008,
16,15,54,86,46,66,34,2008,86,2016,0.00,0.08,0.01,1959,
17,16,55,92,46,66,35,1956,92,2016,0.00,0.09,0.81,2009,
18,17,51,82,46,66,33,1956,85,2007,0.00,0.08,0.22,1955,
19,18,53,67,46,66,38,2009,72,2007,0.01,0.09,0.58,2011,
20,19,49,66,46,66,36,1956,73,2009,0.00,0.09,1.56,2007,
21,20,42,71,46,66,36,1955,81,2014,0.00,0.09,0.55,2000,
22,21,45,69,46,66,36,1955,88,2002,0.00,0.10,1.76,2000,
23,22,44,79,46,66,38,2011,93,2002,0.00,0.09,2.36,2004,
24,23,44,85,46,66,34,1955,85,2016,0.00,0.09,0.73,2001,
25,24,51,83,46,66,39,2007,83,2016,0.00,0.09,0.14,2008,
26,25,46,82,46,66,34,1960,82,2016,0.00,0.09,0.51,2001,
27,26,45,74,46,66,35,2013,80,2006,0.00,0.09,1.18,2011,
28,27,46,75,46,66,36,1956,79,2008,0.00,0.08,1.04,2010,
29,28,46,69,46,67,36,2011,82,2009,0.00,0.07,0.64,2006,
30,29,50,72,46,67,41,2004,72,2016,0.00,0.10,0.17,-99,
31,Average:,46.5,76.4,45.6,65.7,,,,,Total: 0.01,Total: 2.26,,,
