,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 11/2021,KSDM 11/2021,KSDM 11/2021,KSDM 11/2021,KSDM 11/2021,KSDM 11/2021,KSDM 11/2021,KSDM 11/2021,KSDM 11/2021,KSDM 11/2021,KSDM 11/2021,KSDM 11/2021,KSDM 11/2021,KSDM 11/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,51,74,52,75,42,2019,91,2005,0.00,0.02,0.26,2014,
3,2,51,68,52,75,46,2004,95,1997,0.00,0.02,T,2014,
4,3,51,72,52,75,43,2004,99,2010,0.00,0.02,0.36,2015,
5,4,53,71,51,75,45,2014,96,2010,0.00,0.01,0.84,2011,
6,5,53,71,51,74,41,2004,96,2020,0.00,0.02,0.05,2011,
7,6,54,70,51,74,44,2013,91,2014,0.00,0.02,0.20,2011,
8,7,52,69,51,74,45,2000,91,2014,0.00,0.02,0.31,2017,
9,8,50,68,50,74,40,2000,89,2016,0.00,0.02,0.42,1998,
10,9,49,70,50,74,42,2013,95,2016,0.00,0.02,0.26,2002,
11,10,54,72,50,73,40,2020,93,2016,0.00,0.03,0.10,2000,
12,11,54,89,50,73,41,2020,90,2016,0.00,0.02,0.06,2005,
13,12,58,91,50,73,39,2012,91,2021,0.00,0.02,1.09,2011,
14,13,58,87,49,73,38,2000,90,2016,0.00,0.02,0.02,2004,
15,14,54,89,49,72,38,2000,89,2007,0.00,0.03,0.02,2006,
16,15,50,82,49,72,37,2000,91,2008,0.00,0.03,0.29,2015,
17,16,48,67,49,72,38,2000,96,2020,0.00,0.02,0.03,2003,
18,17,52,68,48,72,39,2000,90,2019,0.00,0.03,0.01,2001,
19,18,49,67,48,71,37,2000,93,2019,0.00,0.03,T,2012,
20,19,53,68,48,71,39,2009,87,2006,0.00,0.03,0.41,2019,
21,20,52,67,48,71,43,2017,91,2005,0.00,0.03,1.04,2019,
22,21,50,87,47,70,40,2004,90,2002,0.00,0.04,0.62,2019,
23,22,52,87,47,70,40,2004,95,2017,0.00,0.03,0.37,2013,
24,23,49,70,47,70,38,1999,93,2017,0.00,0.04,0.01,2000,
25,24,47,70,47,70,39,2000,87,2017,0.00,0.03,0.49,2001,
26,25,42,77,46,69,37,2010,80,2014,0.00,0.04,0.13,2015,
27,26,48,81,46,69,36,2010,85,2009,0.00,0.04,1.27,2008,
28,27,45,78,46,69,34,2010,88,2014,0.00,0.03,0.29,2019,
29,28,45,82,46,69,35,2001,82,2021,0.00,0.04,1.69,2019,
30,29,48,80,45,68,34,2004,83,1999,0.00,0.04,0.91,2018,
31,30,44,69,45,68,32,2004,78,2020,0.00,0.04,0.85,2007,
32,Average:,50.5,75.4,48.7,71.8,,,,,Total: 0.00,Total: 0.83,,,
