,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 05/2013,KMYF 05/2013,KMYF 05/2013,KMYF 05/2013,KMYF 05/2013,KMYF 05/2013,KMYF 05/2013,KMYF 05/2013,KMYF 05/2013,KMYF 05/2013,KMYF 05/2013,KMYF 05/2013,KMYF 05/2013,KMYF 05/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,60,72,55,70,44,1999,86,2004,0.00,0.02,T,2007,
3,2,58,84,55,70,48,2002,98,2004,0.00,0.01,T,2007,
4,3,56,93,55,70,50,2002,102,2004,0.00,0.01,0.43,2003,
5,4,58,68,55,70,50,1999,87,2004,0.00,0.01,0.05,2003,
6,5,59,65,56,71,47,1999,80,2004,0.05,0.01,0.25,2005,
7,6,58,67,56,71,51,2007,91,2004,0.27,0.02,0.27,2013,
8,7,57,69,56,71,53,2010,91,2007,0.02,0.01,0.03,2003,
9,8,56,70,56,71,52,2005,93,2007,0.01,0.01,0.02,2011,
10,9,M,M,56,71,51,2003,86,2007,0.00,0.01,T,2011,
11,10,57,72,56,71,45,2003,78,2007,0.00,0.01,0.00,2006,
12,11,59,83,56,71,49,2003,83,2013,0.00,0.01,T,2010,
13,12,58,90,56,71,48,2010,90,2013,0.00,0.01,0.49,1998,
14,13,67,97,57,71,49,1998,97,2013,0.00,0.01,0.10,1998,
15,14,61,77,57,71,49,1998,84,2004,0.00,0.00,0.00,2006,
16,15,60,71,57,71,49,1998,79,2008,0.00,0.01,0.00,2006,
17,16,60,69,57,71,50,1999,92,2008,0.00,0.00,T,2005,
18,17,61,71,57,71,50,1999,90,2008,0.00,0.01,0.13,2011,
19,18,60,72,57,71,52,2011,91,2008,0.00,0.00,0.23,2011,
20,19,61,72,57,71,50,2011,86,2008,0.00,0.00,0.00,2006,
21,20,60,75,57,71,55,2011,82,2009,0.00,0.00,0.01,2002,
22,21,62,75,57,71,53,2002,83,2005,0.00,0.01,T,2006,
23,22,61,70,57,71,49,2002,78,2005,0.00,0.00,0.64,2006,
24,23,59,69,57,71,50,2010,74,2006,0.00,0.00,T,2007,
25,24,59,68,57,71,49,2010,82,2006,0.00,0.00,0.01,2008,
26,25,59,70,57,71,49,2008,76,2005,0.00,0.01,0.01,1998,
27,26,59,70,57,71,51,1998,74,2005,0.00,0.00,T,2008,
28,27,59,72,58,71,50,1998,78,2011,0.00,0.00,T,2008,
29,28,60,73,58,71,52,1998,84,2003,0.00,0.00,0.00,2006,
30,29,61,76,58,71,52,2010,77,2006,0.00,0.01,0.06,2011,
31,30,62,73,58,71,50,2011,80,2006,0.00,0.00,0.02,2009,
32,31,61,74,58,71,52,2011,83,2006,0.00,0.00,0.01,2009,
33,Average:,59.6,74.2,56.6,70.9,,,,,Total: 0.35,Total: 0.20,,,
