,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 03/2014,KMYF 03/2014,KMYF 03/2014,KMYF 03/2014,KMYF 03/2014,KMYF 03/2014,KMYF 03/2014,KMYF 03/2014,KMYF 03/2014,KMYF 03/2014,KMYF 03/2014,KMYF 03/2014,KMYF 03/2014,KMYF 03/2014
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,52,62,49,66,39,2007,83,2013,0.58,0.15,0.58,2014,
3,2,52,63,49,66,39,2007,87,2009,0.21,0.15,0.21,2014,
4,3,48,66,49,66,39,2002,75,2012,0.01,0.16,0.05,2006,
5,4,54,65,49,66,40,2002,85,2012,0.00,0.15,1.05,2005,
6,5,50,71,49,66,42,2006,81,2011,0.00,0.15,0.76,2000,
7,6,56,71,49,66,43,2003,80,2007,0.00,0.14,0.19,1998,
8,7,56,69,49,66,42,2012,84,2004,0.00,0.14,0.26,2013,
9,8,48,80,49,66,39,2012,88,2004,0.00,0.12,1.00,2013,
10,9,52,82,49,66,41,2000,83,2012,0.00,0.11,0.05,2013,
11,10,52,79,49,66,42,2010,79,2014,0.00,0.09,0.09,2006,
12,11,48,71,49,66,42,2010,89,2007,0.00,0.09,0.52,2006,
13,12,53,70,49,67,40,1999,89,2007,0.00,0.07,0.10,2006,
14,13,54,66,49,67,40,1999,78,2013,0.00,0.06,0.06,1998,
15,14,50,70,49,67,40,2006,82,2013,0.00,0.05,0.13,1998,
16,15,51,82,49,67,43,2002,82,2014,0.00,0.05,0.80,2003,
17,16,55,89,49,67,41,1999,89,2014,0.00,0.05,0.53,2003,
18,17,51,74,49,67,41,2008,84,2010,0.00,0.04,0.61,2012,
19,18,57,71,49,67,42,1999,81,2009,0.00,0.05,0.32,2006,
20,19,53,73,49,67,39,2002,73,2014,0.00,0.04,0.19,2012,
21,20,52,71,49,67,42,2012,78,2010,0.00,0.04,0.83,2011,
22,21,58,66,49,67,42,1999,76,2010,0.00,0.03,0.36,2006,
23,22,56,64,49,67,40,2006,82,2008,0.00,0.02,0.47,2005,
24,23,57,67,49,67,42,2009,88,2008,0.00,0.03,0.29,2011,
25,24,59,69,49,67,45,2009,84,2008,0.00,0.03,0.17,2005,
26,25,57,63,49,67,45,2002,75,2009,0.00,0.03,0.80,1998,
27,26,54,63,49,67,44,2011,77,2003,0.18,0.03,0.33,1998,
28,27,50,64,49,67,47,2012,82,2010,T,0.03,0.12,1998,
29,28,49,68,49,67,42,2007,89,2004,0.00,0.03,0.46,2006,
30,29,50,74,49,68,43,1998,92,2004,0.00,0.03,0.54,1998,
31,30,53,68,49,68,39,1998,87,2003,0.01,0.02,0.02,2008,
32,31,48,65,49,68,45,1998,86,2011,0.00,0.03,0.46,1998,
33,Average:,52.7,70.2,49.0,66.7,,,,,Total: 0.99,Total: 2.21,,,
