,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 09/2014,KMYF 09/2014,KMYF 09/2014,KMYF 09/2014,KMYF 09/2014,KMYF 09/2014,KMYF 09/2014,KMYF 09/2014,KMYF 09/2014,KMYF 09/2014,KMYF 09/2014,KMYF 09/2014,KMYF 09/2014,KMYF 09/2014
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,66,79,65,81,56,2010,97,2002,0.00,0.00,0.01,2004,
3,2,68,81,65,81,58,2010,98,2007,0.00,0.01,0.00,2006,
4,3,69,79,65,81,56,1999,104,2007,0.00,0.00,0.07,1998,
5,4,67,81,64,81,59,2004,95,2009,0.00,0.00,0.00,2006,
6,5,66,81,64,81,59,2010,99,2004,0.00,0.01,0.04,2011,
7,6,69,86,64,81,58,2005,100,2011,0.00,0.00,0.11,2002,
8,7,71,91,64,81,60,2010,97,2011,0.00,0.01,0.14,2002,
9,8,74,92,64,81,61,2001,97,2011,0.00,0.01,0.00,2006,
10,9,71,87,64,81,57,2010,87,2014,0.00,0.00,T,2010,
11,10,69,87,64,81,55,2010,90,2004,0.00,0.01,T,2010,
12,11,73,87,64,81,59,2010,92,2004,0.00,0.00,T,2010,
13,12,70,89,64,80,57,2005,89,2014,0.00,0.01,0.00,2006,
14,13,69,90,63,80,58,2010,90,2014,0.00,0.00,T,2010,
15,14,72,96,63,80,57,2005,107,2012,0.00,0.01,0.00,2006,
16,15,74,96,63,80,57,1999,102,2012,0.00,0.00,0.00,2006,
17,16,74,103,63,80,56,1999,103,2014,1.08,0.01,T,2011,
18,17,73,95,63,80,57,2010,95,2014,0.00,0.01,0.00,2006,
19,18,71,81,63,80,57,2010,91,2006,0.00,0.01,0.00,2006,
20,19,69,80,62,79,56,1999,85,2006,0.00,0.02,0.01,2005,
21,20,69,78,62,79,54,1999,87,2012,0.00,0.01,0.13,2005,
22,21,68,79,62,79,53,2007,88,2004,0.00,0.01,0.00,2006,
23,22,67,82,62,79,57,2010,90,2004,0.00,0.00,0.08,2007,
24,23,64,84,62,79,54,2007,103,2009,0.00,0.01,T,2010,
25,24,65,86,62,79,55,2007,93,2009,0.00,0.01,0.00,2006,
26,25,70,88,61,78,56,2005,92,2001,0.00,0.01,0.00,2006,
27,26,67,81,61,78,57,1998,98,2010,0.00,0.00,0.00,2006,
28,27,63,74,61,78,53,2013,107,2010,0.00,0.01,0.01,2007,
29,28,63,76,61,78,55,2013,93,2005,0.00,0.01,T,2007,
30,29,59,76,61,78,56,2013,99,1999,0.00,0.01,0.12,2002,
31,30,62,83,60,78,55,2013,95,2008,0.00,0.01,0.21,2010,
32,Average:,68.4,84.9,62.9,79.8,,,,,Total: 1.08,Total: 0.21,,,
