,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 04/2020,KMYF 04/2020,KMYF 04/2020,KMYF 04/2020,KMYF 04/2020,KMYF 04/2020,KMYF 04/2020,KMYF 04/2020,KMYF 04/2020,KMYF 04/2020,KMYF 04/2020,KMYF 04/2020,KMYF 04/2020,KMYF 04/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,52,66,49,68,40,1998,84,2011,0.00,0.02,0.54,1999,
3,2,52,65,50,68,37,1999,80,2005,0.00,0.03,T,1999,
4,3,49,67,50,68,44,2014,86,2015,0.00,0.03,0.09,1999,
5,4,55,65,50,68,43,2003,81,2015,0.00,0.02,0.66,2006,
6,5,54,65,50,68,40,1999,83,2017,0.05,0.03,0.48,2006,
7,6,54,64,50,68,42,2003,88,2005,1.00,0.03,1.00,2020,
8,7,52,63,50,68,44,1999,86,2014,0.57,0.03,0.57,2020,
9,8,50,60,50,68,43,1998,88,2014,0.04,0.02,0.10,2011,
10,9,51,62,51,68,42,2011,91,2014,0.77,0.02,0.77,2020,
11,10,52,56,51,69,38,1999,90,2018,1.41,0.03,1.41,2020,
12,11,49,66,51,69,44,1999,84,2008,0.02,0.03,0.40,1999,
13,12,55,61,51,69,46,1999,93,2008,T,0.03,0.62,2010,
14,13,54,62,51,69,45,2007,94,2008,0.04,0.03,0.42,2012,
15,14,56,70,52,69,47,2012,87,2018,T,0.03,1.29,2003,
16,15,53,80,52,69,43,2012,84,1999,0.00,0.03,0.38,1998,
17,16,52,74,52,69,43,1998,89,1999,0.00,0.03,T,2009,
18,17,54,66,52,69,43,2015,89,2016,T,0.03,0.43,2003,
19,18,55,66,52,69,47,2018,91,2016,0.05,0.03,0.05,2020,
20,19,56,65,53,69,44,2007,93,2009,0.04,0.03,T,2008,
21,20,57,66,53,70,45,2005,100,2009,T,0.04,0.62,2007,
22,21,56,70,53,70,47,2007,87,2017,T,0.03,0.22,2010,
23,22,54,83,53,70,47,2010,86,2017,0.00,0.03,0.31,2010,
24,23,57,83,53,70,43,2010,83,2020,0.00,0.04,0.15,2006,
25,24,59,89,54,70,50,2008,89,2020,0.00,0.03,0.20,2002,
26,25,61,89,54,70,50,2008,89,2020,0.00,0.03,T,2011,
27,26,61,87,54,70,49,2009,97,2004,0.00,0.03,0.32,2002,
28,27,62,76,54,70,50,2003,96,2008,0.00,0.03,T,2016,
29,28,60,76,54,70,48,2002,93,2008,0.00,0.03,0.40,2005,
30,29,62,73,55,70,48,2002,93,2014,0.00,0.02,0.10,2019,
31,30,63,77,55,70,48,2010,91,2014,0.00,0.02,0.15,2019,
32,Average:,55.2,70.4,52.0,69.1,,,,,Total: 3.99,Total: 0.86,,,
