,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 12/2021,KMYF 12/2021,KMYF 12/2021,KMYF 12/2021,KMYF 12/2021,KMYF 12/2021,KMYF 12/2021,KMYF 12/2021,KMYF 12/2021,KMYF 12/2021,KMYF 12/2021,KMYF 12/2021,KMYF 12/2021,KMYF 12/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,49,81,46,69,35,2004,90,1998,0.00,0.03,0.64,2007,
3,2,54,66,46,69,37,2004,81,2020,0.00,0.04,0.49,2014,
4,3,54,68,46,68,38,2004,79,2015,0.00,0.04,0.30,2014,
5,4,56,64,46,68,38,1999,77,2007,0.00,0.04,0.75,2019,
6,5,50,68,46,68,38,2011,76,2008,0.00,0.05,0.69,2018,
7,6,46,64,46,68,36,2011,79,2015,0.00,0.04,1.71,2018,
8,7,52,61,46,68,34,1998,83,2001,0.01,0.04,2.00,2009,
9,8,50,69,45,68,37,2011,85,2017,0.00,0.05,0.64,2007,
10,9,54,62,45,68,37,2013,85,2017,0.26,0.05,0.26,2021,
11,10,47,61,45,67,39,2013,83,2017,0.00,0.06,0.17,2006,
12,11,43,68,45,67,39,1998,85,2017,0.00,0.05,0.57,2015,
13,12,42,66,45,67,39,2003,86,2010,0.00,0.05,0.42,2011,
14,13,48,59,45,67,39,2013,84,2010,T,0.05,1.47,2012,
15,14,51,60,45,67,38,2007,80,2017,1.14,0.05,1.14,2021,
16,15,42,58,45,67,39,2015,82,2017,0.00,0.06,1.28,2008,
17,16,38,60,45,67,36,2001,84,2013,0.01,0.05,1.39,2016,
18,17,47,66,45,67,38,2015,78,2013,0.11,0.05,1.70,2008,
19,18,40,68,45,67,37,2016,80,2004,0.00,0.05,0.48,2012,
20,19,41,66,45,67,36,2006,80,2004,0.00,0.06,0.25,2010,
21,20,40,71,45,67,37,2006,80,2020,0.00,0.05,0.72,2010,
22,21,51,68,45,67,37,1998,83,2005,0.00,0.05,2.06,2010,
23,22,49,67,45,67,36,1998,77,2014,0.00,0.05,2.17,2010,
24,23,53,66,45,67,34,2011,82,2014,0.43,0.06,1.18,2019,
25,24,51,62,45,67,32,1998,77,2013,0.31,0.05,0.85,2016,
26,25,51,58,45,67,35,1998,79,2006,0.12,0.06,0.60,2003,
27,26,45,59,45,67,39,2007,76,2013,0.13,0.07,1.19,2019,
28,27,44,56,45,67,35,2015,81,2017,0.19,0.06,0.19,2021,
29,28,49,56,45,67,34,2003,85,2017,0.16,0.06,0.99,2004,
30,29,46,57,45,67,38,2015,84,2017,0.12,0.07,0.49,2010,
31,30,51,64,45,67,38,2020,81,2017,T,0.06,0.32,2016,
32,31,53,62,45,67,36,2014,73,2011,T,0.06,0.75,2016,
33,Average:,48.0,63.9,45.2,67.4,,,,,Total: 2.99,Total: 1.61,,,
