,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 02/2021,KMYF 02/2021,KMYF 02/2021,KMYF 02/2021,KMYF 02/2021,KMYF 02/2021,KMYF 02/2021,KMYF 02/2021,KMYF 02/2021,KMYF 02/2021,KMYF 02/2021,KMYF 02/2021,KMYF 02/2021,KMYF 02/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,54,70,45,65,33,2002,83,2020,T,0.04,T,2021,
3,2,54,67,45,65,36,2016,82,2000,0.00,0.05,0.93,2019,
4,3,50,66,46,65,36,2002,84,2009,0.00,0.04,0.56,2008,
5,4,51,63,46,65,36,2011,83,2018,0.00,0.05,0.78,2019,
6,5,45,69,46,65,34,2020,86,2007,0.00,0.06,0.19,2009,
7,6,43,76,46,65,39,2008,81,2006,0.00,0.05,0.38,2009,
8,7,44,70,46,65,38,2019,84,2018,0.00,0.06,3.08,2009,
9,8,50,61,46,65,40,2019,84,2016,0.00,0.07,0.26,2013,
10,9,51,60,46,65,40,2013,89,2016,0.00,0.08,0.68,2009,
11,10,48,61,47,65,39,2013,87,2016,0.00,0.08,0.18,2000,
12,11,45,69,47,65,36,1999,86,2015,0.00,0.09,0.65,2005,
13,12,47,62,47,65,35,1999,87,2015,0.02,0.09,1.28,2003,
14,13,47,60,47,65,38,1999,88,2015,T,0.09,0.59,2003,
15,14,46,65,47,65,40,2008,86,2015,0.00,0.10,1.46,2019,
16,15,44,62,47,65,37,2008,87,2016,0.00,0.09,0.24,2012,
17,16,49,61,47,65,39,2008,90,2016,0.10,0.10,0.80,2009,
18,17,45,64,47,65,41,2012,84,2007,0.00,0.09,1.09,2017,
19,18,45,70,48,65,41,2000,72,2015,0.00,0.10,0.68,2011,
20,19,43,70,48,65,36,2019,77,2000,0.00,0.10,1.52,2007,
21,20,43,66,48,65,37,2018,82,2014,0.00,0.10,0.49,1998,
22,21,43,77,48,65,39,2018,88,2002,0.00,0.11,1.78,2005,
23,22,44,82,48,65,36,2019,91,2002,0.00,0.10,1.08,2005,
24,23,46,77,48,65,38,2019,83,2016,0.00,0.10,1.35,1998,
25,24,45,72,48,65,37,2018,80,2016,0.00,0.11,0.40,1998,
26,25,45,74,48,66,38,2018,83,2020,0.00,0.10,1.43,2003,
27,26,44,75,48,66,38,2013,85,2002,0.00,0.10,1.52,2011,
28,27,44,66,48,66,37,2011,86,2020,0.00,0.09,3.12,2017,
29,28,44,75,48,66,39,2018,86,2009,0.00,0.07,0.76,2014,
30,Average:,46.4,68.2,47.0,65.1,,,,,Total: 0.12,Total: 2.31,,,
