,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 06/2021,KMYF 06/2021,KMYF 06/2021,KMYF 06/2021,KMYF 06/2021,KMYF 06/2021,KMYF 06/2021,KMYF 06/2021,KMYF 06/2021,KMYF 06/2021,KMYF 06/2021,KMYF 06/2021,KMYF 06/2021,KMYF 06/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,60,72,58,72,52,2011,79,2020,0.00,0.01,0.00,2005,
3,2,58,76,58,73,51,2011,85,2006,0.00,0.00,0.05,1999,
4,3,60,71,59,73,50,2011,92,2006,0.00,0.00,0.02,1999,
5,4,60,74,59,73,52,1999,81,2000,0.00,0.01,0.01,2008,
6,5,60,74,59,73,48,1999,82,2002,0.00,0.00,T,2009,
7,6,59,71,59,73,55,2012,82,2008,0.00,0.01,0.09,2020,
8,7,60,66,59,73,53,2007,78,2000,T,0.00,T,2021,
9,8,60,72,59,73,54,2007,83,2020,0.00,0.00,0.06,1998,
10,9,59,74,59,73,56,2004,96,2020,0.00,0.00,T,2011,
11,10,53,75,59,74,53,2021,97,2020,0.00,0.00,T,2011,
12,11,54,79,59,74,54,2021,83,2020,0.00,0.00,T,2010,
13,12,56,78,59,74,53,2017,78,2021,0.00,0.01,T,2009,
14,13,61,82,60,74,54,2017,82,2021,0.00,0.00,T,2009,
15,14,59,81,60,74,55,1998,88,2018,0.00,0.00,0.00,2006,
16,15,63,92,60,74,57,2010,92,2021,0.00,0.00,T,2009,
17,16,63,80,60,75,55,2010,88,2017,0.00,0.00,0.03,1998,
18,17,62,79,60,75,53,2010,87,2016,0.00,0.00,T,2015,
19,18,64,74,60,75,56,1998,91,2008,0.00,0.01,T,2016,
20,19,63,77,60,75,56,2005,96,2016,0.00,0.00,T,2005,
21,20,62,74,61,76,57,2010,100,2016,0.00,0.00,0.06,2003,
22,21,62,78,61,76,56,2010,99,2008,0.00,0.00,0.06,2019,
23,22,64,73,61,76,53,2010,90,2008,0.00,0.00,0.00,2006,
24,23,64,78,61,76,55,1999,81,2015,0.02,0.00,0.02,2021,
25,24,63,75,61,76,58,2012,80,2006,0.00,0.00,0.00,2006,
26,25,61,77,61,77,54,2003,91,2006,0.00,0.00,0.00,2006,
27,26,62,76,62,77,56,2012,94,2006,0.00,0.01,0.00,2006,
28,27,63,76,62,77,57,2002,98,2006,0.00,0.00,0.07,2006,
29,28,63,73,62,77,56,1999,90,2006,0.00,0.00,T,2005,
30,29,64,71,62,77,59,2012,91,2006,0.00,0.00,T,2009,
31,30,65,76,62,78,60,2011,89,2015,0.00,0.00,0.09,2015,
32,Average:,60.9,75.8,60.1,74.8,,,,,Total: 0.02,Total: 0.06,,,
