,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 01/2015,KSAN 01/2015,KSAN 01/2015,KSAN 01/2015,KSAN 01/2015,KSAN 01/2015,KSAN 01/2015,KSAN 01/2015,KSAN 01/2015,KSAN 01/2015,KSAN 01/2015,KSAN 01/2015,KSAN 01/2015,KSAN 01/2015
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,41,59,48,65,35,1919,78,1898,0.00,0.07,1.60,1855,
3,2,42,59,48,65,35,1919,80,1893,0.00,0.06,1.53,1879,
4,3,45,62,48,65,34,1949,83,1943,0.00,0.07,1.08,2005,
5,4,45,66,48,65,29,1949,86,1969,0.00,0.07,2.24,1995,
6,5,48,76,48,65,30,1949,83,2012,0.00,0.06,0.99,1992,
7,6,50,80,49,65,28,1913,83,2006,0.00,0.07,1.27,1977,
8,7,50,78,49,65,25,1913,82,2003,0.00,0.06,1.27,1957,
9,8,55,68,49,65,33,1894,78,1983,0.00,0.07,0.96,1931,
10,9,56,65,49,65,35,1891,85,1923,0.00,0.06,1.02,1980,
11,10,53,70,49,65,34,1888,88,1953,T,0.06,1.76,1911,
12,11,57,62,49,65,35,1913,83,1983,0.20,0.07,1.56,1886,
13,12,59,67,49,65,34,1882,82,1986,0.17,0.06,2.49,1882,
14,13,56,67,49,65,31,1963,83,1904,0.00,0.07,1.29,1952,
15,14,50,71,49,65,35,1963,82,1975,0.00,0.06,2.12,1978,
16,15,50,73,49,65,34,1888,82,2014,0.00,0.07,1.80,1993,
17,16,50,72,49,65,34,1947,86,1976,0.00,0.06,1.12,1993,
18,17,51,70,49,65,34,1888,86,1977,0.00,0.07,1.55,1916,
19,18,51,72,49,65,34,1888,81,2009,0.00,0.06,1.35,1874,
20,19,50,68,49,65,39,1948,87,2005,0.00,0.06,2.15,1895,
21,20,56,62,49,65,33,1883,80,1976,0.00,0.06,1.37,1962,
22,21,57,67,49,65,32,1883,82,1912,0.00,0.07,1.67,1915,
23,22,49,73,49,65,30,1937,80,2013,0.00,0.05,1.53,1967,
24,23,51,71,49,65,37,1937,81,1953,0.00,0.06,2.23,1943,
25,24,50,79,49,65,35,1932,82,1951,0.00,0.06,0.62,1941,
26,25,53,77,49,65,36,1949,81,1951,0.00,0.07,1.99,1995,
27,26,57,72,50,65,36,1949,82,2003,0.04,0.06,2.04,1914,
28,27,55,72,50,65,37,1950,83,1984,0.00,0.06,2.19,1916,
29,28,54,72,50,65,36,1948,83,1962,0.00,0.07,1.32,1915,
30,29,60,70,50,65,33,1880,81,1984,T,0.06,1.92,1980,
31,30,60,65,50,65,34,1949,82,1984,T,0.06,0.80,1966,
32,31,57,67,50,65,32,1880,83,2003,0.01,0.07,2.57,1979,
33,Average:,52.2,69.4,49.0,65.0,,,,,Total: 0.42,Total: 1.98,,,
