,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 10/2015,KSAN 10/2015,KSAN 10/2015,KSAN 10/2015,KSAN 10/2015,KSAN 10/2015,KSAN 10/2015,KSAN 10/2015,KSAN 10/2015,KSAN 10/2015,KSAN 10/2015,KSAN 10/2015,KSAN 10/2015,KSAN 10/2015
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,70,80,63,74,52,1893,93,1965,0.00,0.01,0.44,1921,
3,2,69,79,63,74,50,1925,94,1945,0.00,0.01,0.23,1916,
4,3,68,76,63,74,48,1884,104,1987,0.00,0.01,0.55,1914,
5,4,67,73,63,74,48,1884,97,1987,0.14,0.02,2.95,1925,
6,5,63,71,63,74,48,1884,97,1971,0.27,0.01,0.55,1925,
7,6,64,76,63,74,47,1884,101,1971,0.00,0.01,0.74,2010,
8,7,67,78,62,74,48,1916,91,1951,0.00,0.02,0.53,1939,
9,8,67,82,62,73,49,1883,94,2008,0.00,0.01,0.62,1857,
10,9,69,99,62,73,50,1879,99,2015,0.00,0.02,0.74,1932,
11,10,76,96,62,73,47,1879,96,2015,0.00,0.01,0.91,1986,
12,11,73,94,62,73,46,1879,94,2015,0.00,0.01,0.51,1987,
13,12,75,94,61,73,47,1886,94,2015,T,0.01,0.45,2012,
14,13,76,86,61,73,48,1886,94,1912,0.00,0.02,1.54,1889,
15,14,74,82,61,73,48,1892,107,1961,0.00,0.02,0.78,1877,
16,15,72,79,61,73,47,1881,97,1961,0.00,0.02,0.96,1878,
17,16,70,74,61,73,48,1892,97,1958,T,0.02,0.68,1971,
18,17,70,77,61,73,47,1938,98,1958,T,0.02,0.72,1971,
19,18,71,76,60,73,47,1881,91,1940,0.02,0.02,1.00,1948,
20,19,67,73,60,73,46,1892,97,1964,0.00,0.02,0.91,2010,
21,20,66,76,60,73,46,1949,95,1964,0.00,0.03,0.95,2004,
22,21,66,77,60,72,45,1949,101,1965,0.00,0.02,0.32,1976,
23,22,66,77,60,72,46,1906,104,1965,0.00,0.02,0.91,1941,
24,23,65,78,59,72,47,1886,93,1965,0.00,0.02,0.88,1941,
25,24,65,85,59,72,47,1892,94,1965,0.00,0.02,1.00,1919,
26,25,67,78,59,72,48,1879,95,1983,0.00,0.02,0.80,1940,
27,26,64,80,59,72,46,1874,92,1983,0.00,0.02,0.44,1991,
28,27,63,83,59,72,47,1885,91,1879,0.00,0.03,2.70,2004,
29,28,66,78,58,72,47,1874,92,1879,0.00,0.02,0.60,1974,
30,29,68,78,58,72,45,1971,89,1931,0.00,0.03,0.50,2000,
31,30,62,82,58,72,43,1971,89,1962,0.00,0.02,0.68,1957,
32,31,62,85,58,72,45,1894,90,1918,0.00,0.03,1.01,1927,
33,Average:,68.0,80.7,60.7,72.9,,,,,Total: 0.43,Total: 0.57,,,
