,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 12/2021,KSAN 12/2021,KSAN 12/2021,KSAN 12/2021,KSAN 12/2021,KSAN 12/2021,KSAN 12/2021,KSAN 12/2021,KSAN 12/2021,KSAN 12/2021,KSAN 12/2021,KSAN 12/2021,KSAN 12/2021,KSAN 12/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,54,66,51,67,38,1884,83,1959,0.00,0.04,0.94,1889,
3,2,57,62,51,67,42,1991,83,1959,0.00,0.04,3.34,1854,
4,3,56,63,51,67,42,1909,85,1958,0.00,0.05,1.03,1928,
5,4,56,63,51,67,39,1909,83,1979,0.00,0.05,2.52,1873,
6,5,51,64,51,67,38,1948,83,1965,0.00,0.04,1.34,1966,
7,6,47,61,50,67,40,1891,85,1979,0.00,0.04,1.80,2018,
8,7,50,62,50,67,37,1891,80,1989,T,0.05,1.56,2009,
9,8,48,69,50,66,34,1978,84,1938,0.00,0.05,1.66,1884,
10,9,55,63,50,66,35,1960,84,1957,0.11,0.05,1.53,1926,
11,10,48,61,50,66,40,1884,84,1950,T,0.06,2.56,1943,
12,11,44,67,50,66,39,1947,84,1958,0.00,0.05,1.22,1943,
13,12,41,64,50,66,36,1949,83,2010,0.00,0.05,1.05,2014,
14,13,49,60,50,66,35,1901,81,2010,T,0.05,1.56,2012,
15,14,53,61,50,66,36,1878,83,1953,0.98,0.05,1.18,1889,
16,15,45,59,50,66,35,1878,81,1958,0.00,0.06,2.35,1938,
17,16,38,58,50,66,38,1884,84,1980,T,0.05,1.36,1987,
18,17,48,64,49,66,38,1916,82,1979,0.01,0.06,1.76,1902,
19,18,39,65,49,66,36,1892,78,1985,0.00,0.05,1.93,1921,
20,19,40,63,49,66,36,1909,80,1954,0.00,0.05,0.75,1970,
21,20,39,63,49,66,37,1878,82,1954,0.00,0.05,2.09,1921,
22,21,51,66,49,66,37,1968,80,2020,0.00,0.06,2.01,2010,
23,22,49,64,49,66,36,1968,80,1899,T,0.05,2.60,1945,
24,23,54,64,49,66,36,1990,78,1989,0.50,0.06,2.31,1940,
25,24,54,63,49,66,36,1879,79,1989,0.32,0.06,1.47,1940,
26,25,54,58,49,66,32,1879,83,1925,0.18,0.06,1.50,1921,
27,26,46,60,49,66,32,1891,79,1919,0.08,0.06,1.90,1921,
28,27,45,56,49,66,37,1987,85,1956,0.05,0.07,2.15,1879,
29,28,50,57,49,66,37,1987,84,1919,0.08,0.06,1.27,2004,
30,29,48,58,49,66,38,1966,88,1963,0.27,0.07,1.60,2004,
31,30,55,64,50,66,34,1895,87,1980,T,0.06,1.96,1951,
32,31,54,64,50,66,35,1918,80,1958,T,0.07,1.30,1861,
33,Average:,49.0,62.3,49.7,66.2,,,,,Total: 2.58,Total: 1.67,,,
